Region	Cities of Intuition (050)								Maiden Grove (100)								Knot of Dementia (200)								Haven of Purity (150)								Grove of Umbra (200)								Void (250)							
Mat. Type	Jungle Materials								Jungle Materials								Jungle Materials								Jungle Materials								Jungle Materials								Jungle Materials							
Material	Spring		Sum.		Aut.		Winter		Spring		Sum.		Aut.		Winter		Spring		Sum.		Aut.		Winter		Spring		Sum.		Aut.		Winter		Spring		Sum.		Aut.		Winter		Spring		Sum.		Aut.		Winter	
Horny	Best	Good	NA	NA	Best	Good	NA	NA	Best	Good	NA	NA	Best	Good	NA	NA	Best	Good	NA	NA	Best	Good	NA	NA	Best	Good	NA	NA	Best	Good	NA	NA	Best	Good	NA	NA	Best	Good	NA	NA	Best	Good	NA	NA	Best	Good	NA	NA
Smart	Best	Bad	NA	NA	Best	Bad	NA	NA	Best	Bad	NA	NA	Best	Bad	NA	NA	Best	Bad	NA	NA	Best	Bad	NA	NA	Best	Bad	NA	NA	Best	Bad	NA	NA	Best	Bad	NA	NA	Best	Bad	NA	NA	Best	Bad	NA	NA	Best	Bad	NA	NA
Splinter	Good	Worse	NA	NA	Good	Worse	NA	NA	Good	Worse	NA	NA	Good	Worse	NA	NA	Good	Worse	NA	NA	Good	Worse	NA	NA	Good	Worse	NA	NA	Good	Worse	NA	NA	Good	Worse	NA	NA	Good	Worse	NA	NA	Good	Worse	NA	NA	Good	Worse	NA	NA
																																																
Wood																																																
Abhaya 	NA	NA	NA	NA	Good	Worse	Good	Worse	NA	NA	NA	NA	Good	Worse	Good	Worse	NA	NA	NA	NA	Good	Worse	Good	Worse	NA	NA	NA	NA	Good	Worse	Good	Worse	NA	NA	NA	NA	Good	Worse	Good	Worse	NA	NA	NA	NA	Good	Worse	Good	Worse
Eyota	Best	Good	Best	Good	NA	NA	NA	NA	Best	Good	Best	Good	NA	NA	NA	NA	Best	Good	Best	Good	NA	NA	NA	NA	Best	Good	Best	Good	NA	NA	NA	NA	Best	Good	Best	Good	NA	NA	NA	NA	Best	Good	Best	Good	NA	NA	NA	NA
Kachine	Best	Worse	Best	Worse	NA	NA	NA	NA	Best	Worse	Best	Worse	NA	NA	NA	NA	Best	Worse	Best	Worse	NA	NA	NA	NA	Best	Worse	Best	Worse	NA	NA	NA	NA	Best	Worse	Best	Worse	NA	NA	NA	NA	Best	Worse	Best	Worse	NA	NA	NA	NA
Motega	NA	NA	NA	NA	Bad	Worse	Bad	Worse	NA	NA	NA	NA	Bad	Worse	Bad	Worse	NA	NA	NA	NA	Bad	Worse	Bad	Worse	NA	NA	NA	NA	Bad	Worse	Bad	Worse	NA	NA	NA	NA	Bad	Worse	Bad	Worse	NA	NA	NA	NA	Bad	Worse	Bad	Worse
Tama	Best	Bad	Best	Bad	NA	NA	NA	NA	Best	Bad	Best	Bad	NA	NA	NA	NA	Best	Bad	Best	Bad	NA	NA	NA	NA	Best	Bad	Best	Bad	NA	NA	NA	NA	Best	Bad	Best	Bad	NA	NA	NA	NA	Best	Bad	Best	Bad	NA	NA	NA	NA
																																																
Wood Node																																																
Nita	NA	NA	Best	Worse	Best	Worse	NA	NA	NA	NA	Best	Worse	Best	Worse	NA	NA	NA	NA	Best	Worse	Best	Worse	NA	NA	NA	NA	Best	Worse	Best	Worse	NA	NA	NA	NA	Best	Worse	Best	Worse	NA	NA	NA	NA	Best	Worse	Best	Worse	NA	NA
Patee	NA	NA	Best	Good	Best	Good	NA	NA	NA	NA	Best	Good	Best	Good	NA	NA	NA	NA	Best	Good	Best	Good	NA	NA	NA	NA	Best	Good	Best	Good	NA	NA	NA	NA	Best	Good	Best	Good	NA	NA	NA	NA	Best	Good	Best	Good	NA	NA
Scrath	NA	NA	Good	Bad	Good	Bad	NA	NA	NA	NA	Good	Bad	Good	Bad	NA	NA	NA	NA	Good	Bad	Good	Bad	NA	NA	NA	NA	Good	Bad	Good	Bad	NA	NA	NA	NA	Good	Bad	Good	Bad	NA	NA	NA	NA	Good	Bad	Good	Bad	NA	NA
Tansy	Bad	Worse	NA	NA	Bad	Worse	NA	NA	Bad	Worse	NA	NA	Bad	Worse	NA	NA	Bad	Worse	NA	NA	Bad	Worse	NA	NA	Bad	Worse	NA	NA	Bad	Worse	NA	NA	Bad	Worse	NA	NA	Bad	Worse	NA	NA	Bad	Worse	NA	NA	Bad	Worse	NA	NA
Yana	NA	NA	Best	Bad	Best	Bad	NA	NA	NA	NA	Best	Bad	Best	Bad	NA	NA	NA	NA	Best	Bad	Best	Bad	NA	NA	NA	NA	Best	Bad	Best	Bad	NA	NA	NA	NA	Best	Bad	Best	Bad	NA	NA	NA	NA	Best	Bad	Best	Bad	NA	NA
																																																
																																																
	LEGEND:		Bad	Day		TOOL DEVELOPMENT:					FyrosFreddy			DATA COLLECTORS:					FyrosFreddy																													
			Good	Night		WEB IG PROGRAMMING:					Karu								Hijati																													
